epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,7310.14,0.817,1.21945,0.00493,0.8876,0.83334,0.91221,0.76248,0.69903,1.18434,0.00425,0.0005941,0.0005941,0.0005941
43,7483.9,0.80655,1.20802,0.0049,0.88794,0.84192,0.91106,0.76441,0.69733,1.17694,0.0042,0.0005842,0.0005842,0.0005842
44,7658.06,0.79345,1.18289,0.00484,0.87846,0.84127,0.91111,0.76622,0.7009,1.20423,0.00417,0.0005743,0.0005743,0.0005743
45,7832.1,0.78598,1.18093,0.00476,0.89168,0.84,0.91429,0.76738,0.69399,1.18145,0.00412,0.0005644,0.0005644,0.0005644
46,8005.8,0.78078,1.16131,0.00469,0.89813,0.83609,0.91445,0.76771,0.6952,1.15489,0.00413,0.0005545,0.0005545,0.0005545
47,8180.02,0.77887,1.15332,0.00467,0.89929,0.84318,0.91668,0.77261,0.67598,1.14677,0.00401,0.0005446,0.0005446,0.0005446
48,8354,0.7672,1.13693,0.0046,0.90787,0.83935,0.9217,0.77669,0.67848,1.13466,0.00401,0.0005347,0.0005347,0.0005347
49,8526.95,0.7646,1.1261,0.00458,0.89093,0.84685,0.91618,0.76872,0.67892,1.19047,0.004,0.0005248,0.0005248,0.0005248
50,8700.37,0.7542,1.10789,0.00454,0.89284,0.84353,0.91602,0.7727,0.67132,1.16038,0.00403,0.0005149,0.0005149,0.0005149
51,8873.1,0.75914,1.11512,0.00458,0.89802,0.85289,0.92172,0.77214,0.68415,1.12947,0.00409,0.000505,0.000505,0.000505
52,9047.04,0.75786,1.10046,0.00457,0.90838,0.85218,0.92425,0.7833,0.67029,1.09921,0.00399,0.0004951,0.0004951,0.0004951
53,9221.72,0.75244,1.08217,0.00454,0.90244,0.85332,0.92267,0.78044,0.67497,1.1196,0.00403,0.0004852,0.0004852,0.0004852
54,9395.31,0.74742,1.09052,0.00447,0.90707,0.84539,0.92168,0.78105,0.66236,1.11851,0.00391,0.0004753,0.0004753,0.0004753
55,9568.52,0.75097,1.07136,0.00449,0.90972,0.84547,0.92446,0.78565,0.66069,1.08766,0.00391,0.0004654,0.0004654,0.0004654
56,9741.82,0.73954,1.04344,0.00448,0.90734,0.84507,0.92291,0.78176,0.66801,1.10279,0.00397,0.0004555,0.0004555,0.0004555
57,9915.6,0.73308,1.0589,0.0044,0.91524,0.84862,0.92796,0.78933,0.65704,1.07568,0.00387,0.0004456,0.0004456,0.0004456
58,10089.3,0.73293,1.03209,0.00442,0.90389,0.85558,0.92666,0.78979,0.65447,1.07571,0.00389,0.0004357,0.0004357,0.0004357
59,10262.9,0.72955,1.02407,0.00439,0.90427,0.85977,0.92581,0.78844,0.65974,1.07163,0.00389,0.0004258,0.0004258,0.0004258
60,10437,0.72761,1.0147,0.00438,0.90966,0.84771,0.92376,0.7873,0.65089,1.06959,0.00384,0.0004159,0.0004159,0.0004159
61,10609.6,0.7186,0.99339,0.0043,0.90927,0.85265,0.92549,0.78844,0.65484,1.0703,0.00387,0.000406,0.000406,0.000406
62,10783.7,0.71393,1.00471,0.00426,0.90351,0.85718,0.92638,0.79178,0.64603,1.06547,0.0038,0.0003961,0.0003961,0.0003961
63,10957.1,0.71521,1.00287,0.0042,0.91113,0.85099,0.92497,0.79096,0.6478,1.06306,0.0038,0.0003862,0.0003862,0.0003862
64,11130.1,0.70412,0.98337,0.00411,0.90322,0.85861,0.92727,0.79415,0.64233,1.06731,0.00381,0.0003763,0.0003763,0.0003763
65,11303.6,0.70208,0.97198,0.00417,0.90256,0.87018,0.92831,0.79621,0.63751,1.05429,0.00373,0.0003664,0.0003664,0.0003664
66,11476.9,0.70375,0.96751,0.00412,0.91507,0.85967,0.92863,0.79595,0.63562,1.04751,0.0037,0.0003565,0.0003565,0.0003565
67,11650.9,0.6994,0.95065,0.00418,0.90992,0.86527,0.93025,0.79942,0.63147,1.04872,0.00365,0.0003466,0.0003466,0.0003466
68,11824.7,0.70465,0.95873,0.00418,0.90985,0.86565,0.93061,0.80087,0.62992,1.04232,0.00365,0.0003367,0.0003367,0.0003367
69,11997.9,0.69185,0.93116,0.0041,0.90324,0.87376,0.93233,0.79966,0.63547,1.03761,0.00372,0.0003268,0.0003268,0.0003268
70,12171.3,0.69785,0.93686,0.00415,0.91569,0.87028,0.93425,0.80238,0.63113,1.01374,0.00371,0.0003169,0.0003169,0.0003169
